# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 0.8070 0.2233 0 0.0000 12.042 -11.66 0.00 0.00 0.00 0.00
1 -0.3362 0.3444 0 0.0000 12.041 -11.65 0.00 -0.00 -0.00 0.00
2 -0.1860 0.3609 0 0.0000 12.033 -11.65 0.00 -0.00 -0.00 0.00
3 -0.1097 0.4397 0 0.0000 12.013 -11.63 0.00 -0.00 -0.00 0.00
4 -0.1511 0.4398 0 0.0000 11.979 -11.59 0.00 -0.00 -0.00 0.00
5 -0.3952 0.3859 0 0.0000 11.931 -11.54 0.00 -0.00 -0.00 0.00
6 -1.0191 0.2986 0 0.0000 11.871 -11.49 0.00 -0.00 -0.00 0.00
7 -1.4169 0.2296 0 0.0000 11.804 -11.42 0.00 -0.00 -0.00 0.00
8 -1.5029 0.2380 0 0.0000 11.732 -11.35 0.00 -0.00 -0.00 0.00
9 -1.6488 0.2004 0 0.0000 11.655 -11.27 0.00 -0.00 -0.00 0.00
10 -1.6820 0.1369 0 0.0000 11.574 -11.19 0.00 0.00 -0.00 0.00
11 -1.5205 0.1231 0 0.0000 11.490 -11.10 0.00 0.00 -0.00 0.00
12 -1.4492 0.1129 0 0.0000 11.403 -11.02 0.00 0.00 -0.00 0.00
13 -1.3352 0.0827 0 0.0000 11.314 -10.93 0.00 -0.00 -0.00 0.00
14 -1.2446 0.0430 0 0.0000 11.224 -10.84 0.00 -0.00 -0.00 0.00
15 -1.1088 0.0501 0 0.0000 11.134 -10.75 0.00 -0.00 -0.00 0.00
16 -0.9564 0.0836 0 0.0000 11.047 -10.66 0.00 -0.00 -0.00 0.00
17 -0.8905 -0.0064 0 0.0000 10.964 -10.58 0.01 -0.00 -0.00 0.00
18 -0.7818 -0.0489 0 0.0000 10.884 -10.49 0.01 -0.00 -0.00 0.00
19 -0.6806 -0.0681 0 0.0000 10.805 -10.42 0.01 -0.00 -0.00 0.00
20 -0.5894 -0.0925 0 0.0000 10.725 -10.34 0.01 -0.00 -0.00 0.00
21 -0.4518 -0.0701 0 0.0000 10.645 -10.25 0.01 -0.01 -0.00 0.01
22 -0.3716 -0.0709 0 0.0000 10.562 -10.17 0.01 -0.01 -0.00 0.01
23 -0.1300 -0.0441 0 0.0000 10.477 -10.09 0.01 -0.01 -0.00 0.01
24 -0.0083 -0.0477 0 0.0000 10.391 -10.00 0.01 -0.01 -0.00 0.01
25 0.0582 -0.0526 0 0.0000 10.303 -9.91 0.01 -0.01 -0.00 0.01
26 0.2840 -0.0132 0 0.0000 10.214 -9.82 0.01 -0.01 -0.00 0.01
27 0.3819 -0.0357 0 0.0000 10.122 -9.73 0.01 -0.01 -0.00 0.01
28 0.6071 0.0097 0 0.0000 10.030 -9.64 0.01 -0.01 -0.00 0.01
29 0.7273 0.0624 0 0.0000 9.939 -9.55 0.01 -0.01 -0.00 0.01
30 0.8240 0.0584 0 0.0000 9.848 -9.45 0.01 -0.01 -0.00 0.01
31 1.0438 0.1092 0 0.0000 9.757 -9.36 0.01 -0.01 -0.00 0.01
32 1.5869 0.3732 0 0.0000 9.667 -9.27 0.01 -0.01 -0.00 0.01
33 1.4874 0.4318 0 0.0000 9.580 -9.18 0.01 -0.01 -0.00 0.01
34 1.3882 0.4310 0 0.0000 9.494 -9.10 0.01 -0.02 -0.00 0.01
35 1.5669 0.5640 0 0.0000 9.409 -9.01 0.01 -0.02 -0.00 0.01
36 1.5640 0.5477 0 0.0000 9.324 -8.93 0.01 -0.01 -0.00 0.01
37 1.5624 0.5546 0 0.0000 9.239 -8.84 0.02 -0.01 -0.00 0.01
38 1.5825 0.5965 0 0.0000 9.154 -8.76 0.02 -0.02 -0.00 0.01
39 1.7675 0.6654 0 0.0000 9.068 -8.67 0.02 -0.02 -0.00 0.01
40 1.8226 0.6999 0 0.0000 8.983 -8.58 0.02 -0.01 -0.00 0.01
41 1.7414 0.6446 0 0.0000 8.898 -8.50 0.02 -0.01 -0.00 0.01
42 1.8295 0.7169 0 0.0000 8.813 -8.41 0.02 -0.01 -0.00 0.01
43 1.7835 0.6641 0 0.0000 8.727 -8.33 0.02 -0.01 -0.00 0.01
44 1.8337 0.6878 0 0.0000 8.639 -8.24 0.02 -0.01 -0.00 0.01
45 1.8608 0.6948 0 0.0000 8.549 -8.15 0.02 -0.01 -0.00 0.01
46 1.8437 0.6656 0 0.0000 8.457 -8.06 0.02 -0.01 -0.00 0.01
47 1.9062 0.6971 0 0.0000 8.365 -7.96 0.02 -0.01 -0.00 0.01
48 1.9410 0.7206 0 0.0000 8.274 -7.87 0.01 -0.01 -0.00 0.01
49 1.9834 0.7519 0 0.0000 8.183 -7.78 0.01 -0.01 -0.00 0.01
50 1.9571 0.7069 0 0.0000 8.094 -7.69 0.01 -0.01 -0.00 0.01
51 1.9832 0.7332 0 0.0000 8.007 -7.60 0.01 -0.01 -0.00 0.01
52 1.9755 0.6892 1 0.0500 7.921 -7.52 0.01 -0.01 -0.00 0.01
53 1.9277 0.6598 1 0.1000 7.837 -7.43 0.01 -0.01 -0.00 0.01
54 1.9475 0.6934 1 0.1500 7.752 -7.35 0.00 -0.01 -0.00 0.01
55 2.0014 0.7101 1 0.2000 7.666 -7.26 0.00 -0.01 -0.00 0.01
56 2.0689 0.7457 1 0.2500 7.579 -7.17 0.00 -0.01 -0.00 0.01
57 2.1462 0.7463 1 0.3000 7.492 -7.08 0.01 -0.01 -0.00 0.01
58 1.9937 0.5977 1 0.3500 7.405 -7.00 0.01 -0.01 -0.00 0.01
59 1.9746 0.5565 1 0.4000 7.319 -6.91 0.01 -0.01 -0.00 0.01
60 2.0623 0.5901 1 0.4500 7.233 -6.82 0.01 -0.01 -0.00 0.01
61 1.9093 0.4908 1 0.5000 7.148 -6.74 0.01 -0.01 -0.00 0.01
62 1.8557 0.4603 1 0.5500 7.064 -6.65 0.01 -0.01 -0.00 0.01
63 1.7647 0.3835 1 0.6000 6.979 -6.57 0.00 -0.01 -0.00 0.01
64 1.7369 0.3373 1 0.6500 6.895 -6.48 0.00 -0.01 -0.00 0.01
65 1.7151 0.3470 1 0.7000 6.812 -6.40 0.00 -0.01 0.00 0.01
66 1.6184 0.2959 1 0.7500 6.730 -6.31 -0.00 -0.01 0.00 0.01
67 1.6113 0.3096 1 0.8000 6.648 -6.23 -0.00 -0.01 0.00 0.01
68 1.6027 0.3146 1 0.8500 6.568 -6.15 -0.00 -0.01 0.00 0.01
69 1.4075 0.1751 1 0.9000 6.489 -6.07 -0.00 -0.01 0.00 0.01
70 1.4632 0.2787 1 0.9500 6.410 -5.99 -0.00 -0.01 0.00 0.01
71 1.3051 0.1944 0 1.0000 6.334 -5.91 -0.01 -0.01 0.00 0.01
72 1.1987 0.1495 0 1.0000 6.254 -5.84 -0.01 -0.01 0.00 0.01
73 1.2285 0.2222 0 1.0000 6.164 -5.76 -0.01 -0.01 0.00 0.01
74 1.6110 0.7850 0 1.0000 6.069 -5.69 -0.01 0.00 0.00 0.00
75 1.3054 0.7036 0 1.0000 5.977 -5.62 -0.01 0.02 0.00 0.01
76 1.7434 1.0499 0 1.0000 5.896 -5.55 -0.02 0.04 0.00 0.04
77 1.3186 0.8704 0 1.0000 5.822 -5.47 -0.02 0.07 0.00 0.07
78 1.0825 0.3619 0 1.0000 5.743 -5.40 -0.02 0.11 0.00 0.10
79 0.1966 -0.3492 0 1.0000 5.701 -5.35 -0.02 0.11 0.00 0.11
80 0.3650 -0.3327 0 1.0000 5.703 -5.36 -0.02 0.12 0.00 0.11
81 1.8751 0.7488 0 1.0000 5.743 -5.39 -0.03 0.12 0.01 0.11
82 1.8841 1.2142 0 1.0000 5.782 -5.43 -0.04 0.12 0.01 0.12
83 1.9784 1.2765 0 1.0000 5.782 -5.43 -0.04 0.12 0.01 0.12
84 2.0565 1.3743 0 1.0000 5.782 -5.43 -0.04 0.13 0.01 0.12
