# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 1.8370 1.8457 0 0.0000 18.028 6.00 0.00 2.33 3.14 0.81
1 -0.0046 0.3289 0 0.0000 12.042 -12.20 0.30 0.00 0.00 0.00
2 0.1313 0.3052 0 0.0000 12.042 -12.20 0.30 0.00 0.00 0.00
3 0.3519 0.3796 0 0.0000 12.037 -12.20 0.29 0.00 0.00 0.00
4 0.2145 0.3510 0 0.0000 12.024 -12.19 0.29 0.00 0.00 0.00
5 0.2246 0.3346 0 0.0000 12.003 -12.17 0.28 0.00 0.00 0.00
6 0.2785 0.3622 0 0.0000 11.974 -12.14 0.26 0.01 0.00 0.00
7 0.2325 0.3479 0 0.0000 11.934 -12.10 0.25 0.01 0.00 0.00
8 0.0494 0.3048 0 0.0000 11.883 -12.04 0.24 0.00 0.01 0.00
9 -0.1400 0.2774 0 0.0000 11.822 -11.98 0.22 0.00 0.01 0.00
10 -0.2805 0.2671 0 0.0000 11.753 -11.91 0.21 0.00 0.01 0.01
11 -0.5214 0.2347 0 0.0000 11.677 -11.84 0.19 0.00 0.01 0.01
12 -0.8028 0.1832 0 0.0000 11.594 -11.75 0.18 0.00 0.01 0.01
13 -1.1226 0.1271 0 0.0000 11.507 -11.67 0.16 0.00 0.01 0.01
14 -1.5414 0.0466 0 0.0000 11.416 -11.58 0.15 0.00 0.01 0.01
15 -1.6855 0.0627 0 0.0000 11.326 -11.48 0.14 0.00 0.01 0.01
16 -1.7503 0.0745 0 0.0000 11.235 -11.39 0.13 0.00 0.02 0.01
17 -1.7837 0.0476 0 0.0000 11.144 -11.30 0.11 0.00 0.02 0.01
18 -1.7747 -0.0134 0 0.0000 11.052 -11.21 0.10 0.00 0.02 0.02
19 -1.6840 -0.0341 0 0.0000 10.961 -11.12 0.09 0.00 0.02 0.02
20 -1.5783 -0.0610 0 0.0000 10.869 -11.02 0.08 0.00 0.02 0.02
21 -1.5046 -0.1067 0 0.0000 10.776 -10.93 0.08 0.00 0.02 0.02
22 -1.3567 -0.1362 0 0.0000 10.683 -10.84 0.07 0.00 0.02 0.02
23 -1.2879 -0.2031 0 0.0000 10.588 -10.74 0.06 0.00 0.02 0.02
24 -1.1743 -0.2404 0 0.0000 10.492 -10.65 0.06 0.00 0.02 0.02
25 -1.0079 -0.2076 0 0.0000 10.398 -10.55 0.05 0.00 0.02 0.02
26 -1.0087 -0.3055 0 0.0000 10.306 -10.46 0.05 0.00 0.02 0.02
27 -0.9972 -0.3809 0 0.0000 10.216 -10.37 0.05 0.00 0.03 0.02
28 -0.8528 -0.3822 0 0.0000 10.127 -10.28 0.04 0.00 0.03 0.02
29 -0.7388 -0.4421 0 0.0000 10.037 -10.19 0.04 0.00 0.03 0.03
30 -0.6754 -0.4307 0 0.0000 9.948 -10.10 0.03 0.00 0.03 0.03
31 -0.5872 -0.4294 0 0.0000 9.858 -10.01 0.03 0.00 0.03 0.02
32 -0.4986 -0.4494 0 0.0000 9.768 -9.92 0.03 0.00 0.03 0.03
33 -0.3510 -0.4060 0 0.0000 9.676 -9.82 0.02 0.00 0.03 0.03
34 -0.2099 -0.3956 0 0.0000 9.582 -9.73 0.02 0.00 0.03 0.03
35 -0.0014 -0.3594 0 0.0000 9.487 -9.63 0.01 0.00 0.03 0.03
36 0.1677 -0.2920 0 0.0000 9.391 -9.54 0.01 0.01 0.03 0.03
37 0.2600 -0.3216 0 0.0000 9.295 -9.44 0.00 0.01 0.03 0.03
38 0.6023 -0.2396 0 0.0000 9.198 -9.34 0.00 0.01 0.03 0.03
39 0.5843 -0.2144 0 0.0000 9.104 -9.25 -0.00 0.01 0.03 0.03
40 0.5411 -0.1854 0 0.0000 9.011 -9.15 -0.01 0.01 0.03 0.03
41 0.6704 -0.1201 0 0.0000 8.918 -9.06 -0.01 0.01 0.04 0.03
42 1.0575 0.0342 0 0.0000 8.827 -8.97 -0.01 0.01 0.04 0.03
43 0.8492 -0.0823 0 0.0000 8.740 -8.88 -0.02 0.01 0.04 0.03
44 0.5912 -0.1849 0 0.0000 8.655 -8.79 -0.02 0.01 0.04 0.03
45 1.1046 0.0638 0 0.0000 8.571 -8.71 -0.02 0.01 0.04 0.03
46 0.8012 -0.1161 0 0.0000 8.488 -8.63 -0.02 0.01 0.04 0.03
47 0.8119 -0.0562 0 0.0000 8.407 -8.55 -0.02 0.00 0.04 0.04
48 1.4523 0.3153 0 0.0000 8.326 -8.46 -0.02 0.00 0.04 0.04
49 1.1838 0.1202 0 0.0000 8.246 -8.38 -0.02 0.00 0.04 0.04
50 0.9405 -0.0357 0 0.0000 8.169 -8.31 -0.02 0.00 0.04 0.04
51 1.0818 0.0600 0 0.0000 8.091 -8.23 -0.02 0.00 0.04 0.04
52 1.1556 0.1053 0 0.0000 8.011 -8.15 -0.02 -0.00 0.04 0.04
53 1.4494 0.2872 1 0.0500 7.928 -8.06 -0.01 0.00 0.04 0.04
54 1.4971 0.3355 1 0.1000 7.847 -7.98 -0.01 0.00 0.04 0.04
55 1.2578 0.1510 1 0.1500 7.768 -7.90 -0.01 0.00 0.04 0.04
56 1.2745 0.1843 1 0.2000 7.689 -7.82 -0.01 0.00 0.04 0.04
57 1.2402 0.1535 1 0.2500 7.607 -7.74 -0.01 0.00 0.04 0.04
58 1.4461 0.2458 1 0.3000 7.522 -7.65 -0.00 0.01 0.04 0.03
59 1.4106 0.2153 1 0.3500 7.438 -7.57 -0.00 0.01 0.04 0.04
60 1.4352 0.2278 1 0.4000 7.353 -7.48 -0.00 0.01 0.04 0.03
61 1.5579 0.3278 1 0.4500 7.268 -7.40 -0.01 0.01 0.04 0.03
62 1.4467 0.1950 1 0.5000 7.181 -7.31 -0.01 0.01 0.04 0.04
63 1.4470 0.1692 1 0.5500 7.094 -7.22 -0.01 0.01 0.04 0.04
64 1.4291 0.1203 1 0.6000 7.006 -7.13 -0.01 0.01 0.04 0.03
65 1.2826 -0.0306 1 0.6500 6.917 -7.04 -0.01 0.01 0.05 0.04
66 1.2733 -0.1084 1 0.7000 6.829 -6.95 -0.01 0.01 0.05 0.04
67 1.2458 -0.1501 1 0.7500 6.741 -6.86 -0.01 0.01 0.05 0.04
68 1.1893 -0.2006 1 0.8000 6.656 -6.78 -0.01 0.01 0.05 0.04
69 1.2183 -0.1886 1 0.8500 6.570 -6.69 -0.01 0.01 0.05 0.04
70 1.2396 -0.1762 1 0.9000 6.484 -6.60 -0.01 0.02 0.05 0.03
71 1.1469 -0.2543 1 0.9500 6.396 -6.51 -0.01 0.01 0.05 0.04
72 1.0608 -0.3169 0 1.0000 6.307 -6.42 -0.01 0.02 0.05 0.04
73 0.8872 -0.4215 0 1.0000 6.211 -6.33 -0.01 0.01 0.05 0.04
74 1.5309 0.2606 0 1.0000 6.104 -6.24 -0.01 0.03 0.05 0.02
75 2.2436 1.1354 0 1.0000 5.990 -6.15 -0.01 0.05 0.05 0.00
76 2.5321 1.4385 0 1.0000 5.875 -6.06 -0.00 0.08 0.05 0.03
77 2.4751 1.5633 0 1.0000 5.771 -5.97 0.01 0.11 0.05 0.06
78 2.4615 1.6424 0 1.0000 5.759 -5.95 -0.05 0.15 0.06 0.09
79 2.6078 1.6956 0 1.0000 5.780 -5.97 -0.08 0.16 0.07 0.09
80 2.6630 1.7457 0 1.0000 5.780 -5.97 -0.08 0.16 0.07 0.09
81 2.5273 1.6032 0 1.0000 5.780 -5.97 -0.08 0.16 0.07 0.09
82 2.4934 1.5215 0 1.0000 5.780 -5.97 -0.08 0.16 0.07 0.09
83 2.4224 1.4437 0 1.0000 5.780 -5.97 -0.08 0.16 0.07 0.09
84 2.3442 1.3565 0 1.0000 5.780 -5.97 -0.08 0.16 0.07 0.09
85 2.3034 1.3058 0 1.0000 5.780 -5.97 -0.08 0.16 0.07 0.09
86 2.2649 1.2475 0 1.0000 5.780 -5.97 -0.08 0.16 0.07 0.09
87 2.2426 1.2081 0 1.0000 5.780 -5.97 -0.08 0.16 0.07 0.09
