# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 -2.5251 -0.1203 0 0.0000 18.028 -12.00 -12.00 -2.65 0.00 2.65
1 -0.6975 1.2164 0 0.0000 12.041 12.03 0.31 3.14 3.14 0.00
2 -0.3433 1.5959 0 0.0000 12.032 12.02 0.31 -3.14 3.14 0.00
3 -0.4534 1.5666 0 0.0000 12.011 12.00 0.31 3.14 3.14 0.00
4 -0.4109 1.6797 0 0.0000 11.977 11.96 0.31 -3.14 -3.14 0.00
5 -0.4469 1.7013 0 0.0000 11.930 11.92 0.31 -3.14 -3.14 0.00
6 -0.5931 1.6631 0 0.0000 11.871 11.86 0.32 -3.14 -3.14 0.00
7 -0.7324 1.5669 0 0.0000 11.803 11.79 0.33 -3.14 -3.14 0.00
8 -0.8698 1.4949 0 0.0000 11.728 11.72 0.34 -3.14 -3.14 0.00
9 -0.9812 1.4371 0 0.0000 11.651 11.64 0.35 -3.14 -3.14 0.00
10 -1.0709 1.3773 0 0.0000 11.571 11.56 0.36 -3.14 -3.14 0.00
11 -1.0913 1.3771 0 0.0000 11.488 11.47 0.38 -3.13 -3.14 0.00
12 -1.1881 1.3139 0 0.0000 11.403 11.39 0.39 -3.13 -3.13 0.00
13 -1.2999 1.2411 0 0.0000 11.314 11.30 0.41 -3.13 -3.13 0.00
14 -1.4343 1.1422 0 0.0000 11.223 11.21 0.43 -3.13 -3.13 0.00
15 -1.6605 0.9585 0 0.0000 11.130 11.11 0.44 -3.13 -3.13 0.00
16 -1.6779 0.8978 0 0.0000 11.037 11.02 0.46 -3.12 -3.13 0.00
17 -1.6151 0.9035 0 0.0000 10.946 10.93 0.48 -3.12 -3.13 0.00
18 -1.5209 0.8936 0 0.0000 10.860 10.84 0.50 -3.12 -3.12 0.00
19 -1.4928 0.8791 0 0.0000 10.781 10.76 0.51 -3.13 -3.12 0.00
20 -1.5311 0.8537 0 0.0000 10.711 10.69 0.53 -3.13 -3.12 0.00
21 -1.6368 0.8238 0 0.0000 10.651 10.63 0.55 -3.13 -3.12 0.01
22 -1.7339 0.6486 0 0.0000 10.604 10.58 0.58 -3.13 -3.12 0.01
23 -1.8379 0.4904 0 0.0000 10.567 10.54 0.60 -3.13 -3.11 0.01
24 -1.6390 0.5546 0 0.0000 10.536 10.51 0.62 -3.13 -3.11 0.02
25 -1.7469 0.6668 0 0.0000 10.515 10.49 0.64 -3.13 -3.11 0.02
26 -1.7934 0.5307 0 0.0000 10.505 10.48 0.67 -3.13 -3.11 0.02
27 -1.8745 0.4977 0 0.0000 10.505 10.48 0.69 -3.13 -3.11 0.03
28 -2.1294 0.4088 0 0.0000 10.513 10.49 0.72 -3.13 -3.10 0.03
29 -2.4981 0.2172 0 0.0000 10.528 10.50 0.74 -3.13 -3.10 0.03
30 -2.6750 0.2658 0 0.0000 10.545 10.52 0.77 -3.13 -3.10 0.04
31 -2.4905 0.3790 0 0.0000 10.556 10.53 0.79 -3.13 -3.10 0.04
32 -2.4548 0.4094 0 0.0000 10.558 10.53 0.82 -3.13 -3.09 0.04
33 -2.5383 0.3523 0 0.0000 10.545 10.51 0.84 -3.13 -3.09 0.04
34 -2.6156 0.2670 0 0.0000 10.519 10.48 0.86 -3.12 -3.09 0.03
35 -2.6031 0.1912 0 0.0000 10.480 10.45 0.88 -3.12 -3.09 0.03
36 -2.6630 0.0863 0 0.0000 10.434 10.40 0.89 -3.12 -3.09 0.04
37 -2.6895 0.0922 0 0.0000 10.384 10.35 0.91 -3.12 -3.08 0.04
38 -2.7750 0.0852 0 0.0000 10.334 10.30 0.92 -3.12 -3.08 0.04
39 -2.7785 0.0381 0 0.0000 10.286 10.25 0.93 -3.13 -3.08 0.04
40 -2.7466 0.0097 0 0.0000 10.243 10.20 0.95 -3.13 -3.08 0.05
41 -2.8360 0.0446 0 0.0000 10.204 10.16 0.96 -3.13 -3.08 0.05
42 -2.8199 0.0005 0 0.0000 10.172 10.13 0.97 -3.13 -3.08 0.05
43 -2.9287 0.0093 0 0.0000 10.144 10.10 0.99 -3.13 -3.07 0.05
44 -3.2151 -0.1444 0 0.0000 10.119 10.07 1.00 -3.13 -3.07 0.06
45 -3.1517 -0.2158 0 0.0000 10.093 10.05 1.02 -3.13 -3.07 0.06
46 -3.4158 -0.3271 0 0.0000 10.064 10.02 1.04 -3.13 -3.07 0.06
47 -3.3528 -0.3302 0 0.0000 10.031 9.98 1.05 -3.13 -3.07 0.07
48 -3.4868 -0.3765 0 0.0000 9.995 9.94 1.07 -3.13 -3.07 0.07
49 -3.5168 -0.3397 0 0.0000 9.956 9.90 1.09 -3.13 -3.06 0.07
50 -3.5125 -0.3773 0 0.0000 9.916 9.86 1.10 -3.13 -3.06 0.07
51 -3.5864 -0.3689 0 0.0000 9.874 9.82 1.12 -3.13 -3.06 0.07
52 -3.5456 -0.3331 0 0.0000 9.830 9.77 1.13 -3.13 -3.06 0.07
53 -3.4530 -0.3264 0 0.0000 9.786 9.73 1.15 -3.12 -3.06 0.07
54 -3.5467 -0.3376 0 0.0000 9.742 9.68 1.17 -3.12 -3.05 0.07
55 -3.5341 -0.3334 0 0.0000 9.697 9.63 1.18 -3.12 -3.05 0.07
56 -3.5223 -0.3383 0 0.0000 9.652 9.59 1.20 -3.12 -3.05 0.07
57 -3.5502 -0.3643 0 0.0000 9.607 9.54 1.22 -3.11 -3.05 0.07
58 -3.6065 -0.4084 0 0.0000 9.561 9.49 1.24 -3.11 -3.04 0.07
59 -3.9400 -0.6309 0 0.0000 9.517 9.45 1.25 -3.14 -3.04 0.10
60 -3.8800 -0.6247 0 0.0000 9.497 9.43 1.23 3.14 -3.04 0.10
61 -3.5495 -0.4655 0 0.0000 9.475 9.41 1.22 3.14 -3.05 0.10
62 -3.2874 -0.3627 0 0.0000 9.445 9.38 1.21 3.14 -3.05 0.10
63 -3.2946 -0.3944 0 0.0000 9.404 9.34 1.20 -3.14 -3.05 0.09
64 -3.1216 -0.3584 0 0.0000 9.356 9.29 1.20 -3.14 -3.05 0.09
65 -3.3801 -0.4066 0 0.0000 9.304 9.23 1.20 3.14 -3.05 0.10
66 -3.3991 -0.3779 0 0.0000 9.254 9.18 1.21 3.14 -3.04 0.10
67 -3.4646 -0.4436 0 0.0000 9.208 9.13 1.22 -3.14 -3.04 0.10
