# step wm_danger det_logit danger fire dist_t
0 -0.0066 0.4377 0 0.0000 19.000
1 0.9376 1.0156 0 0.0000 24.020
2 0.5429 0.7923 0 0.0000 24.014
3 0.7028 0.8931 0 0.0000 23.998
4 0.6489 0.8102 0 0.0000 23.972
5 0.5104 0.6770 0 0.0000 23.936
6 0.4854 0.6161 0 0.0000 23.892
7 0.4369 0.5680 0 0.0000 23.841
8 0.3997 0.5272 0 0.0000 23.784
9 0.3493 0.4839 0 0.0000 23.723
10 0.2897 0.4321 0 0.0000 23.659
11 0.2103 0.3739 0 0.0000 23.592
12 0.1040 0.2702 0 0.0000 23.524
13 0.0048 0.1881 0 0.0000 23.456
14 -0.0738 0.1195 0 0.0000 23.386
15 -0.1391 0.0559 0 0.0000 23.316
16 -0.2536 -0.0271 0 0.0000 23.246
17 -0.3629 -0.1353 0 0.0000 23.176
18 -0.4560 -0.2495 0 0.0000 23.106
19 -0.5472 -0.3404 0 0.0000 23.036
20 -0.5986 -0.3928 0 0.0000 22.966
21 -0.6460 -0.4602 0 0.0000 22.896
22 -0.6970 -0.5310 0 0.0000 22.826
23 -0.7451 -0.5815 0 0.0000 22.756
24 -0.7711 -0.6239 0 0.0000 22.686
25 -0.7332 -0.6834 0 0.0000 22.616
26 -0.6904 -0.7395 0 0.0000 22.546
27 -0.6391 -0.7935 0 0.0000 22.476
28 -0.5716 -0.8402 0 0.0000 22.406
29 -0.5122 -0.9413 0 0.0000 22.336
30 -0.4362 -0.9847 0 0.0000 22.266
31 -0.3576 -1.0003 0 0.0000 22.196
32 -0.2815 -1.0126 0 0.0000 22.126
33 -0.2175 -1.0168 0 0.0000 22.056
34 -0.1606 -1.0262 0 0.0000 21.986
35 -0.1135 -1.0378 0 0.0000 21.916
36 -0.0491 -1.0476 0 0.0000 21.847
37 0.0065 -1.0368 0 0.0000 21.777
38 0.0704 -1.0337 0 0.0000 21.707
39 0.1476 -0.9914 0 0.0000 21.637
40 0.1745 -1.0053 0 0.0000 21.567
41 0.2306 -0.9940 0 0.0000 21.497
42 0.2969 -1.0033 0 0.0000 21.427
43 0.3795 -0.9357 0 0.0000 21.357
44 0.4346 -0.8905 0 0.0000 21.287
45 0.4753 -0.8586 0 0.0000 21.217
46 0.5036 -0.8182 0 0.0000 21.147
47 0.5541 -0.7514 0 0.0000 21.077
48 0.6167 -0.6766 0 0.0000 21.007
49 0.6724 -0.6068 0 0.0000 20.938
50 0.7117 -0.5402 0 0.0000 20.868
51 0.7466 -0.4828 0 0.0000 20.798
52 0.7803 -0.4165 0 0.0000 20.728
53 0.8071 -0.3729 0 0.0000 20.658
54 0.8235 -0.3195 0 0.0000 20.588
55 0.8386 -0.2475 0 0.0000 20.518
56 0.8536 -0.1913 0 0.0000 20.448
57 0.8576 -0.1398 0 0.0000 20.378
58 0.8580 -0.0706 0 0.0000 20.308
59 0.8659 0.0149 0 0.0000 20.238
60 0.8689 0.0813 0 0.0000 20.168
61 0.8583 0.1388 0 0.0000 20.099
62 0.8704 0.2084 0 0.0000 20.029
63 0.8740 0.2711 0 0.0000 19.959
64 0.8611 0.3357 0 0.0000 19.889
65 0.8584 0.3895 0 0.0000 19.819
66 0.8557 0.4479 0 0.0000 19.749
67 0.8359 0.5042 0 0.0000 19.679
68 0.8505 0.5595 0 0.0000 19.609
69 0.8528 0.6243 0 0.0000 19.539
70 0.8443 0.6692 0 0.0000 19.469
71 0.8236 0.6849 0 0.0000 19.399
72 0.7962 0.7025 0 0.0000 19.330
73 0.7877 0.7246 0 0.0000 19.260
74 0.7885 0.7434 0 0.0000 19.190
75 0.7806 0.7554 0 0.0000 19.120
76 0.7780 0.7669 0 0.0000 19.050
77 0.7712 0.7796 0 0.0000 18.980
78 0.7679 0.7903 0 0.0000 18.910
79 0.7409 0.7679 0 0.0000 18.840
80 0.7234 0.7525 0 0.0000 18.770
81 0.6926 0.7226 0 0.0000 18.700
82 0.6586 0.6942 0 0.0000 18.631
83 0.6339 0.6725 0 0.0000 18.561
84 0.5823 0.6242 0 0.0000 18.491
85 0.5088 0.5489 0 0.0000 18.421
86 0.4196 0.4542 0 0.0000 18.351
87 0.3137 0.3413 0 0.0000 18.281
88 0.2292 0.2336 0 0.0000 18.211
89 0.1425 0.1413 0 0.0000 18.141
90 0.0795 0.0629 0 0.0000 18.071
91 -0.0093 -0.0360 0 0.0000 18.001
92 -0.1394 -0.1789 0 0.0000 17.932
93 -0.2687 -0.3199 0 0.0000 17.862
94 -0.3580 -0.4243 0 0.0000 17.792
95 -0.4605 -0.5549 0 0.0000 17.722
96 -0.5495 -0.6755 0 0.0000 17.652
97 -0.6555 -0.8009 0 0.0000 17.582
98 -0.7350 -0.9179 0 0.0000 17.512
99 -0.8201 -1.0440 0 0.0000 17.442
100 -0.9117 -1.1807 0 0.0000 17.372
101 -1.0231 -1.3143 0 0.0000 17.303
102 -1.0855 -1.3945 0 0.0000 17.233
103 -1.1721 -1.5168 0 0.0000 17.163
104 -1.2776 -1.6395 0 0.0000 17.093
105 -1.3746 -1.7715 0 0.0000 17.023
106 -1.4475 -1.8790 0 0.0000 16.953
107 -1.5168 -1.9870 0 0.0000 16.883
108 -1.5900 -2.1001 0 0.0000 16.813
109 -1.5348 -2.1843 0 0.0000 16.744
110 -1.4486 -2.2942 0 0.0000 16.674
111 -1.3478 -2.3771 0 0.0000 16.604
