# step wm_danger det_logit danger fire dist_t
0 -4.5966 -3.1449 0 0.0000 26.851
1 0.4624 0.9521 0 0.0000 21.657
2 0.3606 1.0177 0 0.0000 21.662
3 0.3767 1.1689 0 0.0000 21.663
4 0.3753 1.1793 0 0.0000 21.654
5 0.3632 1.1728 0 0.0000 21.631
6 0.3731 1.1750 0 0.0000 21.594
7 0.3507 1.1634 0 0.0000 21.543
8 0.3090 1.0552 0 0.0000 21.480
9 0.3439 1.0850 0 0.0000 21.408
10 0.2959 0.8903 0 0.0000 21.330
11 0.2139 0.8898 0 0.0000 21.246
12 0.3356 1.0217 0 0.0000 21.160
13 0.2192 0.8720 0 0.0000 21.071
14 0.2147 0.8767 0 0.0000 20.981
15 0.2044 0.7609 0 0.0000 20.892
16 0.1828 0.6987 0 0.0000 20.803
17 0.1562 0.5646 0 0.0000 20.716
18 0.2547 0.8105 0 0.0000 20.629
19 0.2140 0.6731 0 0.0000 20.544
20 0.2598 0.8501 0 0.0000 20.460
21 0.1797 0.6727 0 0.0000 20.377
22 0.1388 0.6847 0 0.0000 20.294
23 0.1299 0.6700 0 0.0000 20.212
24 0.1888 0.8015 0 0.0000 20.129
25 0.0629 0.5315 0 0.0000 20.046
26 0.1424 0.6066 0 0.0000 19.962
27 0.0336 0.4799 0 0.0000 19.879
28 0.0211 0.4864 0 0.0000 19.797
29 0.0259 0.4501 0 0.0000 19.717
30 0.1298 0.5942 0 0.0000 19.637
31 -0.0344 0.4067 0 0.0000 19.562
32 -0.0421 0.3477 0 0.0000 19.522
33 -0.0287 0.3744 0 0.0000 19.487
34 0.0009 0.4712 0 0.0000 19.454
35 -0.1242 0.2002 0 0.0000 19.421
36 -0.0484 0.3548 0 0.0000 19.388
37 0.0264 0.4826 0 0.0000 19.358
38 0.0300 0.4273 0 0.0000 19.330
39 0.0345 0.4499 0 0.0000 19.305
40 0.0698 0.4794 0 0.0000 19.280
41 0.0967 0.5915 0 0.0000 19.255
42 0.0494 0.3824 0 0.0000 19.234
43 -0.0407 0.2219 0 0.0000 19.216
44 -0.0314 0.2222 0 0.0000 19.201
