# step wm_danger det_logit danger fire dist_t
0 nan nan 0 0.0000 13.454
1 nan nan 1 0.0500 6.084
2 nan nan 1 0.1000 6.091
3 nan nan 1 0.1500 6.107
4 nan nan 1 0.2000 6.134
5 nan nan 1 0.2500 6.171
6 nan nan 1 0.3000 6.218
7 nan nan 1 0.3500 6.271
8 nan nan 1 0.4000 6.329
9 nan nan 1 0.4500 6.389
10 nan nan 1 0.5000 6.448
11 nan nan 1 0.5500 6.506
12 nan nan 1 0.6000 6.561
13 nan nan 1 0.6500 6.611
14 nan nan 1 0.7000 6.657
15 nan nan 1 0.7500 6.698
16 nan nan 1 0.8000 6.734
17 nan nan 1 0.8500 6.766
18 nan nan 1 0.9000 6.793
19 nan nan 1 0.9500 6.818
20 nan nan 0 1.0000 6.839
21 nan nan 0 1.0000 6.852
22 nan nan 0 1.0000 6.857
23 nan nan 0 1.0000 6.855
24 nan nan 0 1.0000 6.855
25 nan nan 0 1.0000 6.865
26 nan nan 0 1.0000 6.848
27 nan nan 0 1.0000 6.833
28 nan nan 0 1.0000 6.825
29 nan nan 0 1.0000 6.830
30 nan nan 0 1.0000 6.831
31 nan nan 0 1.0000 6.834
32 nan nan 0 1.0000 6.834
33 nan nan 0 1.0000 6.834
34 nan nan 0 1.0000 6.834
35 nan nan 0 1.0000 6.834
